date,campaign_id,campaign_name,spend,impressions,clicks
2025-03-01,bing_search,Bing Search - Brand,45.35,1261,22
2025-03-01,bing_shop,Bing Shopping,49.04,838,20
2025-03-02,bing_search,Bing Search - Brand,29.09,554,8
2025-03-02,bing_shop,Bing Shopping,69.25,1174,26
2025-03-03,bing_search,Bing Search - Brand,53.68,1046,20
2025-03-03,bing_shop,Bing Shopping,53.36,1053,18
2025-03-04,bing_search,Bing Search - Brand,28.98,615,11
2025-03-04,bing_shop,Bing Shopping,51.91,818,12
2025-03-05,bing_search,Bing Search - Brand,42.02,801,11
2025-03-05,bing_shop,Bing Shopping,58.47,1223,19
2025-03-06,bing_search,Bing Search - Brand,44.73,863,17
2025-03-06,bing_shop,Bing Shopping,66.64,1505,27
2025-03-07,bing_search,Bing Search - Brand,51.08,1212,14
2025-03-07,bing_shop,Bing Shopping,76.94,1950,27
2025-03-08,bing_search,Bing Search - Brand,37.02,700,13
2025-03-08,bing_shop,Bing Shopping,59.84,1076,25
2025-03-09,bing_search,Bing Search - Brand,32.74,641,14
2025-03-09,bing_shop,Bing Shopping,71.07,1312,27
2025-03-10,bing_search,Bing Search - Brand,46.9,715,10
2025-03-10,bing_shop,Bing Shopping,56.73,1048,17
2025-03-11,bing_search,Bing Search - Brand,45.7,1089,21
2025-03-11,bing_shop,Bing Shopping,93.64,1804,38
2025-03-12,bing_search,Bing Search - Brand,48.18,1181,19
2025-03-12,bing_shop,Bing Shopping,76.39,1901,28
2025-03-13,bing_search,Bing Search - Brand,45.08,969,15
2025-03-13,bing_shop,Bing Shopping,59.97,1529,26
2025-03-14,bing_search,Bing Search - Brand,56.65,1046,17
2025-03-14,bing_shop,Bing Shopping,76.01,1473,21
2025-03-15,bing_search,Bing Search - Brand,33.55,698,10
2025-03-15,bing_shop,Bing Shopping,56.66,749,11
2025-03-16,bing_search,Bing Search - Brand,36.39,671,9
2025-03-16,bing_shop,Bing Shopping,49.07,991,23
2025-03-17,bing_search,Bing Search - Brand,36.71,703,15
2025-03-17,bing_shop,Bing Shopping,71.68,1413,22
2025-03-18,bing_search,Bing Search - Brand,45.76,901,8
2025-03-18,bing_shop,Bing Shopping,61.64,872,20
2025-03-19,bing_search,Bing Search - Brand,50.96,898,19
2025-03-19,bing_shop,Bing Shopping,92.04,1668,38
2025-03-20,bing_search,Bing Search - Brand,48.04,926,12
2025-03-20,bing_shop,Bing Shopping,63.24,1189,10
2025-03-21,bing_search,Bing Search - Brand,49.13,935,18
2025-03-21,bing_shop,Bing Shopping,64.58,1872,21
2025-03-22,bing_search,Bing Search - Brand,32.55,719,19
2025-03-22,bing_shop,Bing Shopping,48.36,1232,17
2025-03-23,bing_search,Bing Search - Brand,44.24,894,24
2025-03-23,bing_shop,Bing Shopping,70.2,1267,37
2025-03-24,bing_search,Bing Search - Brand,38.6,735,18
2025-03-24,bing_shop,Bing Shopping,61.64,1114,20
2025-03-25,bing_search,Bing Search - Brand,48.73,1031,15
2025-03-25,bing_shop,Bing Shopping,70.63,1547,37
2025-03-26,bing_search,Bing Search - Brand,47.95,778,14
2025-03-26,bing_shop,Bing Shopping,62.8,1504,16
2025-03-27,bing_search,Bing Search - Brand,49.46,831,19
2025-03-27,bing_shop,Bing Shopping,76.23,1574,31
2025-03-28,bing_search,Bing Search - Brand,43.73,963,17
2025-03-28,bing_shop,Bing Shopping,75.88,1530,12
2025-03-29,bing_search,Bing Search - Brand,34.86,855,20
2025-03-29,bing_shop,Bing Shopping,57.17,1121,18
2025-03-30,bing_search,Bing Search - Brand,40.9,889,12
2025-03-30,bing_shop,Bing Shopping,61.6,1459,20
2025-03-31,bing_search,Bing Search - Brand,44.76,957,19
2025-03-31,bing_shop,Bing Shopping,64.88,1194,19
