click_id,date,campaign_id,campaign_name,channel
fbclid_62,2025-01-02,meta_conv,Conversion - Purchase,meta
fbclid_63,2025-01-02,meta_conv,Conversion - Purchase,meta
fbclid_64,2025-01-02,meta_conv,Conversion - Purchase,meta
fbclid_65,2025-01-02,meta_conv,Conversion - Purchase,meta
fbclid_66,2025-01-02,meta_ret,Retargeting - Cart,meta
fbclid_67,2025-01-02,meta_ret,Retargeting - Cart,meta
fbclid_68,2025-01-02,meta_ret,Retargeting - Cart,meta
gclid_69,2025-01-02,goog_search,Search - Brand,google
gclid_70,2025-01-02,goog_search,Search - Brand,google
gclid_71,2025-01-02,goog_pmax,Performance Max,google
gclid_72,2025-01-02,goog_pmax,Performance Max,google
gclid_73,2025-01-02,goog_pmax,Performance Max,google
gclid_74,2025-01-02,goog_pmax,Performance Max,google
gclid_75,2025-01-02,goog_pmax,Performance Max,google
gclid_76,2025-01-02,goog_pmax,Performance Max,google
bing__77,2025-01-02,bing_search,Bing Search - Brand,bing
bing__78,2025-01-02,bing_search,Bing Search - Brand,bing
bing__79,2025-01-02,bing_shop,Bing Shopping,bing
bing__80,2025-01-02,bing_shop,Bing Shopping,bing
bing__81,2025-01-02,bing_shop,Bing Shopping,bing
bing__82,2025-01-02,bing_shop,Bing Shopping,bing
bing__83,2025-01-02,bing_shop,Bing Shopping,bing
bing__84,2025-01-02,bing_shop,Bing Shopping,bing
bing__85,2025-01-02,bing_shop,Bing Shopping,bing
bing__86,2025-01-02,bing_shop,Bing Shopping,bing
pin__87,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__88,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__89,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__90,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__91,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__92,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__93,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__94,2025-01-02,pin_aware,Pinterest Awareness,pinterest
pin__95,2025-01-02,pin_conv,Pinterest Conversions,pinterest
pin__96,2025-01-02,pin_conv,Pinterest Conversions,pinterest
pin__97,2025-01-02,pin_conv,Pinterest Conversions,pinterest
fbclid_98,2025-01-03,meta_br,Brand Awareness,meta
fbclid_99,2025-01-03,meta_br,Brand Awareness,meta
fbclid_100,2025-01-03,meta_br,Brand Awareness,meta
fbclid_101,2025-01-03,meta_br,Brand Awareness,meta
fbclid_102,2025-01-03,meta_conv,Conversion - Purchase,meta
fbclid_103,2025-01-03,meta_conv,Conversion - Purchase,meta
fbclid_104,2025-01-03,meta_ret,Retargeting - Cart,meta
fbclid_105,2025-01-03,meta_ret,Retargeting - Cart,meta
fbclid_106,2025-01-03,meta_ret,Retargeting - Cart,meta
fbclid_107,2025-01-03,meta_ret,Retargeting - Cart,meta
gclid_108,2025-01-03,goog_search,Search - Brand,google
gclid_109,2025-01-03,goog_search,Search - Brand,google
gclid_110,2025-01-03,goog_search,Search - Brand,google
gclid_111,2025-01-03,goog_pmax,Performance Max,google
gclid_112,2025-01-03,goog_pmax,Performance Max,google
gclid_113,2025-01-03,goog_pmax,Performance Max,google
gclid_114,2025-01-03,goog_pmax,Performance Max,google
gclid_115,2025-01-03,goog_pmax,Performance Max,google
gclid_116,2025-01-03,goog_pmax,Performance Max,google
bing__117,2025-01-03,bing_search,Bing Search - Brand,bing
bing__118,2025-01-03,bing_search,Bing Search - Brand,bing
bing__119,2025-01-03,bing_search,Bing Search - Brand,bing
bing__120,2025-01-03,bing_search,Bing Search - Brand,bing
bing__121,2025-01-03,bing_shop,Bing Shopping,bing
bing__122,2025-01-03,bing_shop,Bing Shopping,bing
bing__123,2025-01-03,bing_shop,Bing Shopping,bing
pin__124,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__125,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__126,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__127,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__128,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__129,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__130,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__131,2025-01-03,pin_aware,Pinterest Awareness,pinterest
pin__132,2025-01-03,pin_conv,Pinterest Conversions,pinterest
pin__133,2025-01-03,pin_conv,Pinterest Conversions,pinterest
pin__134,2025-01-03,pin_conv,Pinterest Conversions,pinterest
pin__135,2025-01-03,pin_conv,Pinterest Conversions,pinterest
pin__136,2025-01-03,pin_conv,Pinterest Conversions,pinterest
fbclid_137,2025-01-04,meta_br,Brand Awareness,meta
fbclid_138,2025-01-04,meta_br,Brand Awareness,meta
fbclid_139,2025-01-04,meta_br,Brand Awareness,meta
fbclid_140,2025-01-04,meta_br,Brand Awareness,meta
fbclid_141,2025-01-04,meta_br,Brand Awareness,meta
fbclid_142,2025-01-04,meta_br,Brand Awareness,meta
fbclid_143,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_144,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_145,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_146,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_147,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_148,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_149,2025-01-04,meta_conv,Conversion - Purchase,meta
fbclid_150,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_151,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_152,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_153,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_154,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_155,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_156,2025-01-04,meta_ret,Retargeting - Cart,meta
fbclid_157,2025-01-04,meta_ret,Retargeting - Cart,meta
gclid_158,2025-01-04,goog_search,Search - Brand,google
gclid_159,2025-01-04,goog_search,Search - Brand,google
gclid_160,2025-01-04,goog_search,Search - Brand,google
gclid_161,2025-01-04,goog_search,Search - Brand,google
gclid_162,2025-01-04,goog_search,Search - Brand,google
gclid_163,2025-01-04,goog_search,Search - Brand,google
gclid_164,2025-01-04,goog_search,Search - Brand,google
gclid_165,2025-01-04,goog_search,Search - Brand,google
gclid_166,2025-01-04,goog_pmax,Performance Max,google
gclid_167,2025-01-04,goog_pmax,Performance Max,google
gclid_168,2025-01-04,goog_pmax,Performance Max,google
gclid_169,2025-01-04,goog_pmax,Performance Max,google
gclid_170,2025-01-04,goog_pmax,Performance Max,google
bing__171,2025-01-04,bing_search,Bing Search - Brand,bing
bing__172,2025-01-04,bing_search,Bing Search - Brand,bing
bing__173,2025-01-04,bing_search,Bing Search - Brand,bing
bing__174,2025-01-04,bing_search,Bing Search - Brand,bing
bing__175,2025-01-04,bing_search,Bing Search - Brand,bing
bing__176,2025-01-04,bing_search,Bing Search - Brand,bing
bing__177,2025-01-04,bing_shop,Bing Shopping,bing
bing__178,2025-01-04,bing_shop,Bing Shopping,bing
bing__179,2025-01-04,bing_shop,Bing Shopping,bing
bing__180,2025-01-04,bing_shop,Bing Shopping,bing
bing__181,2025-01-04,bing_shop,Bing Shopping,bing
bing__182,2025-01-04,bing_shop,Bing Shopping,bing
pin__183,2025-01-04,pin_aware,Pinterest Awareness,pinterest
pin__184,2025-01-04,pin_aware,Pinterest Awareness,pinterest
pin__185,2025-01-04,pin_conv,Pinterest Conversions,pinterest
pin__186,2025-01-04,pin_conv,Pinterest Conversions,pinterest
pin__187,2025-01-04,pin_conv,Pinterest Conversions,pinterest
pin__188,2025-01-04,pin_conv,Pinterest Conversions,pinterest
pin__189,2025-01-04,pin_conv,Pinterest Conversions,pinterest
pin__190,2025-01-04,pin_conv,Pinterest Conversions,pinterest
fbclid_191,2025-01-05,meta_br,Brand Awareness,meta
fbclid_192,2025-01-05,meta_br,Brand Awareness,meta
fbclid_193,2025-01-05,meta_conv,Conversion - Purchase,meta
fbclid_194,2025-01-05,meta_conv,Conversion - Purchase,meta
fbclid_195,2025-01-05,meta_conv,Conversion - Purchase,meta
fbclid_196,2025-01-05,meta_conv,Conversion - Purchase,meta
fbclid_197,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_198,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_199,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_200,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_201,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_202,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_203,2025-01-05,meta_ret,Retargeting - Cart,meta
fbclid_204,2025-01-05,meta_ret,Retargeting - Cart,meta
gclid_205,2025-01-05,goog_search,Search - Brand,google
gclid_206,2025-01-05,goog_search,Search - Brand,google
gclid_207,2025-01-05,goog_search,Search - Brand,google
gclid_208,2025-01-05,goog_search,Search - Brand,google
gclid_209,2025-01-05,goog_search,Search - Brand,google
gclid_210,2025-01-05,goog_search,Search - Brand,google
gclid_211,2025-01-05,goog_pmax,Performance Max,google
gclid_212,2025-01-05,goog_pmax,Performance Max,google
gclid_213,2025-01-05,goog_pmax,Performance Max,google
gclid_214,2025-01-05,goog_pmax,Performance Max,google
gclid_215,2025-01-05,goog_pmax,Performance Max,google
gclid_216,2025-01-05,goog_pmax,Performance Max,google
gclid_217,2025-01-05,goog_pmax,Performance Max,google
gclid_218,2025-01-05,goog_pmax,Performance Max,google
bing__219,2025-01-05,bing_search,Bing Search - Brand,bing
bing__220,2025-01-05,bing_search,Bing Search - Brand,bing
bing__221,2025-01-05,bing_search,Bing Search - Brand,bing
bing__222,2025-01-05,bing_search,Bing Search - Brand,bing
bing__223,2025-01-05,bing_shop,Bing Shopping,bing
bing__224,2025-01-05,bing_shop,Bing Shopping,bing
bing__225,2025-01-05,bing_shop,Bing Shopping,bing
bing__226,2025-01-05,bing_shop,Bing Shopping,bing
bing__227,2025-01-05,bing_shop,Bing Shopping,bing
bing__228,2025-01-05,bing_shop,Bing Shopping,bing
pin__229,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__230,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__231,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__232,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__233,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__234,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__235,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__236,2025-01-05,pin_aware,Pinterest Awareness,pinterest
pin__237,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__238,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__239,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__240,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__241,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__242,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__243,2025-01-05,pin_conv,Pinterest Conversions,pinterest
pin__244,2025-01-05,pin_conv,Pinterest Conversions,pinterest
fbclid_245,2025-01-06,meta_br,Brand Awareness,meta
fbclid_246,2025-01-06,meta_br,Brand Awareness,meta
fbclid_247,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_248,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_249,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_250,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_251,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_252,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_253,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_254,2025-01-06,meta_conv,Conversion - Purchase,meta
fbclid_255,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_256,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_257,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_258,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_259,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_260,2025-01-06,meta_ret,Retargeting - Cart,meta
fbclid_261,2025-01-06,meta_ret,Retargeting - Cart,meta
gclid_262,2025-01-06,goog_search,Search - Brand,google
gclid_263,2025-01-06,goog_search,Search - Brand,google
gclid_264,2025-01-06,goog_search,Search - Brand,google
gclid_265,2025-01-06,goog_search,Search - Brand,google
gclid_266,2025-01-06,goog_search,Search - Brand,google
gclid_267,2025-01-06,goog_pmax,Performance Max,google
gclid_268,2025-01-06,goog_pmax,Performance Max,google
gclid_269,2025-01-06,goog_pmax,Performance Max,google
gclid_270,2025-01-06,goog_pmax,Performance Max,google
gclid_271,2025-01-06,goog_pmax,Performance Max,google
gclid_272,2025-01-06,goog_pmax,Performance Max,google
bing__273,2025-01-06,bing_search,Bing Search - Brand,bing
bing__274,2025-01-06,bing_search,Bing Search - Brand,bing
bing__275,2025-01-06,bing_search,Bing Search - Brand,bing
bing__276,2025-01-06,bing_shop,Bing Shopping,bing
bing__277,2025-01-06,bing_shop,Bing Shopping,bing
bing__278,2025-01-06,bing_shop,Bing Shopping,bing
bing__279,2025-01-06,bing_shop,Bing Shopping,bing
bing__280,2025-01-06,bing_shop,Bing Shopping,bing
pin__281,2025-01-06,pin_aware,Pinterest Awareness,pinterest
pin__282,2025-01-06,pin_aware,Pinterest Awareness,pinterest
pin__283,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__284,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__285,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__286,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__287,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__288,2025-01-06,pin_conv,Pinterest Conversions,pinterest
pin__289,2025-01-06,pin_conv,Pinterest Conversions,pinterest
fbclid_290,2025-01-07,meta_br,Brand Awareness,meta
fbclid_291,2025-01-07,meta_br,Brand Awareness,meta
fbclid_292,2025-01-07,meta_br,Brand Awareness,meta
fbclid_293,2025-01-07,meta_br,Brand Awareness,meta
fbclid_294,2025-01-07,meta_br,Brand Awareness,meta
fbclid_295,2025-01-07,meta_br,Brand Awareness,meta
fbclid_296,2025-01-07,meta_br,Brand Awareness,meta
fbclid_297,2025-01-07,meta_br,Brand Awareness,meta
fbclid_298,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_299,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_300,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_301,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_302,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_303,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_304,2025-01-07,meta_conv,Conversion - Purchase,meta
fbclid_305,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_306,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_307,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_308,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_309,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_310,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_311,2025-01-07,meta_ret,Retargeting - Cart,meta
fbclid_312,2025-01-07,meta_ret,Retargeting - Cart,meta
gclid_313,2025-01-07,goog_search,Search - Brand,google
gclid_314,2025-01-07,goog_search,Search - Brand,google
gclid_315,2025-01-07,goog_search,Search - Brand,google
gclid_316,2025-01-07,goog_pmax,Performance Max,google
gclid_317,2025-01-07,goog_pmax,Performance Max,google
gclid_318,2025-01-07,goog_pmax,Performance Max,google
gclid_319,2025-01-07,goog_pmax,Performance Max,google
bing__320,2025-01-07,bing_search,Bing Search - Brand,bing
bing__321,2025-01-07,bing_search,Bing Search - Brand,bing
bing__322,2025-01-07,bing_search,Bing Search - Brand,bing
bing__323,2025-01-07,bing_search,Bing Search - Brand,bing
bing__324,2025-01-07,bing_search,Bing Search - Brand,bing
bing__325,2025-01-07,bing_search,Bing Search - Brand,bing
bing__326,2025-01-07,bing_search,Bing Search - Brand,bing
bing__327,2025-01-07,bing_search,Bing Search - Brand,bing
bing__328,2025-01-07,bing_shop,Bing Shopping,bing
bing__329,2025-01-07,bing_shop,Bing Shopping,bing
pin__330,2025-01-07,pin_aware,Pinterest Awareness,pinterest
pin__331,2025-01-07,pin_aware,Pinterest Awareness,pinterest
pin__332,2025-01-07,pin_aware,Pinterest Awareness,pinterest
pin__333,2025-01-07,pin_aware,Pinterest Awareness,pinterest
pin__334,2025-01-07,pin_aware,Pinterest Awareness,pinterest
pin__335,2025-01-07,pin_conv,Pinterest Conversions,pinterest
pin__336,2025-01-07,pin_conv,Pinterest Conversions,pinterest
pin__337,2025-01-07,pin_conv,Pinterest Conversions,pinterest
pin__338,2025-01-07,pin_conv,Pinterest Conversions,pinterest
fbclid_339,2025-01-08,meta_br,Brand Awareness,meta
fbclid_340,2025-01-08,meta_br,Brand Awareness,meta
fbclid_341,2025-01-08,meta_br,Brand Awareness,meta
fbclid_342,2025-01-08,meta_br,Brand Awareness,meta
fbclid_343,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_344,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_345,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_346,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_347,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_348,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_349,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_350,2025-01-08,meta_conv,Conversion - Purchase,meta
fbclid_351,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_352,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_353,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_354,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_355,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_356,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_357,2025-01-08,meta_ret,Retargeting - Cart,meta
fbclid_358,2025-01-08,meta_ret,Retargeting - Cart,meta
gclid_359,2025-01-08,goog_search,Search - Brand,google
gclid_360,2025-01-08,goog_search,Search - Brand,google
gclid_361,2025-01-08,goog_pmax,Performance Max,google
gclid_362,2025-01-08,goog_pmax,Performance Max,google
gclid_363,2025-01-08,goog_pmax,Performance Max,google
gclid_364,2025-01-08,goog_pmax,Performance Max,google
gclid_365,2025-01-08,goog_pmax,Performance Max,google
bing__366,2025-01-08,bing_search,Bing Search - Brand,bing
bing__367,2025-01-08,bing_search,Bing Search - Brand,bing
bing__368,2025-01-08,bing_search,Bing Search - Brand,bing
bing__369,2025-01-08,bing_search,Bing Search - Brand,bing
bing__370,2025-01-08,bing_search,Bing Search - Brand,bing
bing__371,2025-01-08,bing_search,Bing Search - Brand,bing
bing__372,2025-01-08,bing_search,Bing Search - Brand,bing
bing__373,2025-01-08,bing_search,Bing Search - Brand,bing
bing__374,2025-01-08,bing_shop,Bing Shopping,bing
bing__375,2025-01-08,bing_shop,Bing Shopping,bing
pin__376,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__377,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__378,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__379,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__380,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__381,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__382,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__383,2025-01-08,pin_aware,Pinterest Awareness,pinterest
pin__384,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__385,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__386,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__387,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__388,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__389,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__390,2025-01-08,pin_conv,Pinterest Conversions,pinterest
pin__391,2025-01-08,pin_conv,Pinterest Conversions,pinterest
fbclid_392,2025-01-09,meta_br,Brand Awareness,meta
fbclid_393,2025-01-09,meta_br,Brand Awareness,meta
fbclid_394,2025-01-09,meta_br,Brand Awareness,meta
fbclid_395,2025-01-09,meta_conv,Conversion - Purchase,meta
fbclid_396,2025-01-09,meta_conv,Conversion - Purchase,meta
fbclid_397,2025-01-09,meta_conv,Conversion - Purchase,meta
fbclid_398,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_399,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_400,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_401,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_402,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_403,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_404,2025-01-09,meta_ret,Retargeting - Cart,meta
fbclid_405,2025-01-09,meta_ret,Retargeting - Cart,meta
gclid_406,2025-01-09,goog_search,Search - Brand,google
gclid_407,2025-01-09,goog_search,Search - Brand,google
gclid_408,2025-01-09,goog_search,Search - Brand,google
gclid_409,2025-01-09,goog_search,Search - Brand,google
gclid_410,2025-01-09,goog_search,Search - Brand,google
gclid_411,2025-01-09,goog_search,Search - Brand,google
gclid_412,2025-01-09,goog_search,Search - Brand,google
gclid_413,2025-01-09,goog_pmax,Performance Max,google
gclid_414,2025-01-09,goog_pmax,Performance Max,google
gclid_415,2025-01-09,goog_pmax,Performance Max,google
gclid_416,2025-01-09,goog_pmax,Performance Max,google
gclid_417,2025-01-09,goog_pmax,Performance Max,google
gclid_418,2025-01-09,goog_pmax,Performance Max,google
bing__419,2025-01-09,bing_search,Bing Search - Brand,bing
bing__420,2025-01-09,bing_search,Bing Search - Brand,bing
bing__421,2025-01-09,bing_search,Bing Search - Brand,bing
bing__422,2025-01-09,bing_search,Bing Search - Brand,bing
bing__423,2025-01-09,bing_search,Bing Search - Brand,bing
bing__424,2025-01-09,bing_search,Bing Search - Brand,bing
bing__425,2025-01-09,bing_search,Bing Search - Brand,bing
bing__426,2025-01-09,bing_shop,Bing Shopping,bing
bing__427,2025-01-09,bing_shop,Bing Shopping,bing
bing__428,2025-01-09,bing_shop,Bing Shopping,bing
bing__429,2025-01-09,bing_shop,Bing Shopping,bing
pin__430,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__431,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__432,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__433,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__434,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__435,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__436,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__437,2025-01-09,pin_aware,Pinterest Awareness,pinterest
pin__438,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__439,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__440,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__441,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__442,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__443,2025-01-09,pin_conv,Pinterest Conversions,pinterest
pin__444,2025-01-09,pin_conv,Pinterest Conversions,pinterest
fbclid_445,2025-01-10,meta_br,Brand Awareness,meta
fbclid_446,2025-01-10,meta_br,Brand Awareness,meta
fbclid_447,2025-01-10,meta_br,Brand Awareness,meta
fbclid_448,2025-01-10,meta_br,Brand Awareness,meta
fbclid_449,2025-01-10,meta_br,Brand Awareness,meta
fbclid_450,2025-01-10,meta_br,Brand Awareness,meta
fbclid_451,2025-01-10,meta_conv,Conversion - Purchase,meta
